
============================================================================
📊 RESULTS — RAG Benchmark (2 cases)
    Scoring: 50% LLM Judge + 30% Token F1 + 20% Keyword
============================================================================

Metric: Combined Score                 Before          After(RAG)      Delta   
----------------------------------------------------------------------------
  Overall                                 0.0%          56.5%   +56.5%
    abstention                            0.0%          79.7%   +79.7%
    contradiction_resolution              0.0%          25.0%   +25.0%
    event_ordering                        0.0%          19.2%   +19.2%
    information_extraction                0.0%         100.0%  +100.0%
    instruction_following                 0.0%          50.1%   +50.1%
    knowledge_update                      0.0%          81.7%   +81.7%
    multi_session_reasoning               0.0%          29.6%   +29.6%
    preference_following                  0.0%          81.7%   +81.7%
    summarization                         0.0%          22.4%   +22.4%
    temporal_reasoning                    0.0%          75.8%   +75.8%

Metric: Token F1                       Before          After(RAG)      Delta   
----------------------------------------------------------------------------
  Overall                                 0.0%          27.7%   +27.7%
    abstention                            0.0%          17.1%   +17.1%
    contradiction_resolution              0.0%          44.1%   +44.1%
    event_ordering                        0.0%          30.7%   +30.7%
    information_extraction                0.0%          61.0%   +61.0%
    instruction_following                 0.0%          12.2%   +12.2%
    knowledge_update                      0.0%          41.1%   +41.1%
    multi_session_reasoning               0.0%          21.7%   +21.7%
    preference_following                  0.0%          13.8%   +13.8%
    summarization                         0.0%          23.0%   +23.0%
    temporal_reasoning                    0.0%          12.1%   +12.1%

Metric: LLM Judge                      Before          After(RAG)      Delta   
----------------------------------------------------------------------------
  Overall                                 0.0%          53.9%   +53.9%
    abstention                            0.0%          75.0%   +75.0%
    contradiction_resolution              0.0%          12.5%   +12.5%
    event_ordering                        0.0%           9.5%    +9.5%
    information_extraction                0.0%         100.0%  +100.0%
    instruction_following                 0.0%          47.0%   +47.0%
    knowledge_update                      0.0%          85.0%   +85.0%
    multi_session_reasoning               0.0%          32.5%   +32.5%
    preference_following                  0.0%          86.2%   +86.2%
    summarization                         0.0%          16.5%   +16.5%
    temporal_reasoning                    0.0%          75.0%   +75.0%

Metric: Keyword Overlap                Before          After(RAG)      Delta   
----------------------------------------------------------------------------
  Overall                                 0.0%          36.8%   +36.8%
    abstention                            0.0%          27.5%   +27.5%
    contradiction_resolution              0.0%          43.2%   +43.2%
    event_ordering                        0.0%          38.7%   +38.7%
    information_extraction                0.0%          55.9%   +55.9%
    instruction_following                 0.0%          30.3%   +30.3%
    knowledge_update                      0.0%          48.6%   +48.6%
    multi_session_reasoning               0.0%          31.4%   +31.4%
    preference_following                  0.0%          39.8%   +39.8%
    summarization                         0.0%          44.8%   +44.8%
    temporal_reasoning                    0.0%           8.1%    +8.1%
