
============================================================================
📊 RESULTS — RAG Benchmark (3 cases)
    Scoring: 50% LLM Judge + 30% Token F1 + 20% Keyword
============================================================================

Metric: Combined Score                 Before          After(RAG)      Delta   
----------------------------------------------------------------------------
  Overall                                 0.0%          53.2%   +53.2%
    abstention                            0.0%          71.8%   +71.8%
    contradiction_resolution              0.0%          18.7%   +18.7%
    event_ordering                        0.0%          22.9%   +22.9%
    information_extraction                0.0%          83.9%   +83.9%
    instruction_following                 0.0%          52.6%   +52.6%
    knowledge_update                      0.0%          71.2%   +71.2%
    multi_session_reasoning               0.0%          68.5%   +68.5%
    preference_following                  0.0%          59.2%   +59.2%
    summarization                         0.0%          31.1%   +31.1%
    temporal_reasoning                    0.0%          51.7%   +51.7%

Metric: Token F1                       Before          After(RAG)      Delta   
----------------------------------------------------------------------------
  Overall                                 0.0%          24.4%   +24.4%
    abstention                            0.0%          16.7%   +16.7%
    contradiction_resolution              0.0%          27.0%   +27.0%
    event_ordering                        0.0%          31.1%   +31.1%
    information_extraction                0.0%          54.7%   +54.7%
    instruction_following                 0.0%           7.4%    +7.4%
    knowledge_update                      0.0%          53.1%   +53.1%
    multi_session_reasoning               0.0%          11.5%   +11.5%
    preference_following                  0.0%          11.3%   +11.3%
    summarization                         0.0%          17.8%   +17.8%
    temporal_reasoning                    0.0%          13.8%   +13.8%

Metric: LLM Judge                      Before          After(RAG)      Delta   
----------------------------------------------------------------------------
  Overall                                 0.0%          51.2%   +51.2%
    abstention                            0.0%          66.7%   +66.7%
    contradiction_resolution              0.0%          11.7%   +11.7%
    event_ordering                        0.0%          12.2%   +12.2%
    information_extraction                0.0%          83.0%   +83.0%
    instruction_following                 0.0%          51.7%   +51.7%
    knowledge_update                      0.0%          66.7%   +66.7%
    multi_session_reasoning               0.0%          74.3%   +74.3%
    preference_following                  0.0%          59.2%   +59.2%
    summarization                         0.0%          30.2%   +30.2%
    temporal_reasoning                    0.0%          50.0%   +50.0%

Metric: Keyword Overlap                Before          After(RAG)      Delta   
----------------------------------------------------------------------------
  Overall                                 0.0%          33.8%   +33.8%
    abstention                            0.0%          28.9%   +28.9%
    contradiction_resolution              0.0%          33.0%   +33.0%
    event_ordering                        0.0%          36.3%   +36.3%
    information_extraction                0.0%          54.9%   +54.9%
    instruction_following                 0.0%          21.8%   +21.8%
    knowledge_update                      0.0%          56.9%   +56.9%
    multi_session_reasoning               0.0%          30.2%   +30.2%
    preference_following                  0.0%          34.0%   +34.0%
    summarization                         0.0%          32.2%   +32.2%
    temporal_reasoning                    0.0%          10.1%   +10.1%
